Season,No of races where pole won,No of races in the season ,Average Pole Conversion Rate
1950,3,7,42.9
1951,4,8,50
1952,5,8,62.5
1953,4,9,44.4
1954,4,9,44.4
1955,3,7,42.9
1956,3,8,37.5
1957,4,8,50
1958,2,11,18.2
1959,6,9,66.7
1960,6,10,60
1961,2,8,25
1962,2,9,22.2
1963,6,10,60
1964,3,10,30
1965,6,10,60
1966,4,9,44.4
1967,2,11,18.2
1968,2,12,16.7
1969,4,11,36.4
1970,2,13,15.4
1971,6,11,54.5
1972,4,12,33.3
1973,4,15,26.7
1974,5,15,33.3
1975,4,14,28.6
1976,11,16,68.8
1977,4,17,23.5
1978,7,16,43.8
1979,6,15,40
1980,2,14,14.3
1981,3,15,20
1982,2,16,12.5
1983,3,15,20
1984,6,16,37.5
1985,3,16,18.8
1986,4,16,25
1987,5,16,31.3
1988,9,16,56.3
1989,7,16,43.8
1990,7,16,43.8
1991,12,16,75
1992,9,16,56.3
1993,7,16,43.8
1994,7,16,43.8
1995,5,17,29.4
1996,4,16,25
1997,8,17,47.1
1998,7,16,43.8
1999,3,16,18.8
2000,7,17,41.2
2001,7,17,41.2
2002,6,17,35.3
2003,9,16,56.3
2004,11,18,61.1
2005,9,19,47.4
2006,10,18,55.6
2007,11,17,64.7
2008,8,18,44.4
2009,9,17,52.9
2010,8,19,42.1
2011,9,19,47.4
2012,10,20,50
2013,10,19,52.6
2014,9,19,47.4
2015,12,19,63.2
2016,13,21,61.9
2017,11,20,55
2018,10,21,47.6
2019,8,21,38.1
2020,10,17,58.8
2021,11,22,50
2022,10,22,45.5
2023,14,22,63.6
2024,11,24,45.8
